Id,Label,Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity,hue_0,hue_1,hue_2,hue_3,hue_4,hue_5,hue_6,hue_7,hue_8,hue_9,hue_10,hue_11,hue_12,hue_13,hue_14,hue_15,hue_16,hue_17,hue_18,hue_19,hue_20,hue_21,hue_22,hue_23,hue_24,hue_25,hue_26,hue_27,hue_28,hue_29,hue_30,hue_31,sat_0,sat_1,sat_2,sat_3,sat_4,sat_5,sat_6,sat_7,sat_8,sat_9,sat_10,sat_11,sat_12,sat_13,sat_14,sat_15,sat_16,sat_17,sat_18,sat_19,sat_20,sat_21,sat_22,sat_23,sat_24,sat_25,sat_26,sat_27,sat_28,sat_29,sat_30,sat_31,bright_0,bright_1,bright_2,bright_3,bright_4,bright_5,bright_6,bright_7,bright_8,bright_9,bright_10,bright_11,bright_12,bright_13,bright_14,bright_15,bright_16,bright_17,bright_18,bright_19,bright_20,bright_21,bright_22,bright_23,bright_24,bright_25,bright_26,bright_27,bright_28,bright_29,bright_30,bright_31,motion_Mean,motion_Std,motion_Skweness,motion_Kurtosis,motion_Max,motion_Min,motion_Var,contrast_Mean,contrast_Std,contrast_Skweness,contrast_Kurtosis,contrast_Max,contrast_Min,contrast_Var,MSSQ
4,0,0,1,0,0.0,0.0,0.0,0.0,163883,21831,10268,82729,273767,183783,23463,1233,480,419,598,3528,5768,8804,67558,18715,20273,17025,18857,16066,13233,22006,131633,0,0,0,0,0,0,0,0,0,55868,33570,76375,41673,40244,154319,252938,113358,81473,62824,56118,53790,31996,9007,4386,4150,4973,4874,5737,6451,4443,2729,1203,1308,600,166,74,54,28,29,20,1142,43881,263,190,116,145,146,220,328,942,4985,6562,14050,18342,24708,119687,134853,52261,62171,84797,76835,60609,49421,71785,96717,48182,33508,25696,21108,13966,8928,9822,20696,-0.0711306213129622,1.8556741597486504,-0.22060845300972,-0.0489162310802511,3.7062688,-4.946648,3.44352658715886,35.52470170532782,7.317559877787393,-3.077319371233527,11.427542758110333,47.08813045811152,0.1170298579607827,53.54668256500385,4.0
4,0,1,5,0,3.3,7.06,11.47,0.78,257386,80602,41472,44899,49523,34645,10252,8328,1296,978,1466,14308,20920,127380,84381,101053,67428,17420,22113,21145,19658,26042,53225,0,0,0,0,0,0,0,0,0,167176,72748,80856,74329,54917,59181,110643,66736,103174,72004,42752,37456,34732,35189,16784,8092,8629,5557,5728,6074,8734,6566,5564,5663,1626,1676,1800,2924,1297,990,1052,5271,155386,16004,20898,34208,30555,23026,18334,7740,12197,29235,22801,33091,39278,40206,71730,95871,30203,29361,37565,42090,49339,55752,43870,38018,32740,20882,20022,13317,7461,7252,8240,19248,-0.1021514162421226,1.3771920204162598,0.2840474574050748,1.9754115310834088,4.230111,-4.547931,1.8966577053070068,37.78316657318336,16.10038485567323,-1.603494597390066,1.2516297688171267,56.61714074272162,0.1170298579607827,259.22239250079184,4.0
4,0,2,0,0,36.0,20.97,97.99,0.85,215030,191982,39604,13186,1392,4553,16871,13071,2608,1491,2038,8975,27872,50192,276576,77652,28195,12146,17703,24241,26834,34202,19506,0,0,0,0,0,0,0,0,0,42694,80179,74617,67032,87934,107694,103689,73086,45415,38578,38064,46367,79026,107633,54833,21590,12325,8282,3558,3268,1445,1386,3266,3750,201,7,1,0,0,0,0,0,0,0,0,0,0,46,859,4895,10943,18332,23982,29803,36049,36944,43344,46065,42637,46265,50304,64857,75920,75138,73825,87031,65749,54347,45943,40606,32265,28206,16290,55275,-0.0399574115872383,0.8091816902160645,0.2230353414063093,-0.0109043911283635,2.210826,-2.1494703,0.6547749638557434,44.33344366304657,4.1971467182231335,0.164013186228396,-0.3084602079098899,55.29165114723799,34.49566797222629,17.616040574291222,4.0
4,0,3,0,0,50.9,11.05,98.51,0.66,187047,244417,51042,11527,1700,3667,16686,11565,2633,1456,1786,8092,26980,84067,227769,94912,18365,7279,12048,9305,19415,32833,31329,0,0,0,0,0,0,0,0,0,52647,66565,74620,76076,59828,69101,82985,112970,99679,55670,43779,42446,80423,87719,44262,19809,12919,9830,6522,3986,1601,751,687,572,447,24,2,0,0,0,0,0,0,0,0,0,4,1121,4960,21539,19799,20216,27807,35516,27099,33407,33927,34835,32199,30717,37559,48407,60448,70016,68677,80110,66441,58788,52935,47446,42213,31783,27787,90164,-0.0263781156390905,1.21231210231781,0.1480820866565446,0.5955024768173929,3.6657002,-3.5871632,1.469700574874878,50.5128409467271,5.118614305232393,-0.9605191599230548,1.0492603023127725,58.98032422201599,30.816335626456304,26.20021240572969,4.0
4,0,4,0,0,20.36,4.66,40.13,0.66,88150,100980,46381,16076,3543,2099,5779,4075,1358,1003,1346,7379,24974,228886,287604,145903,52830,9567,9880,12521,24225,20731,10630,0,0,0,0,0,0,0,0,0,41827,55928,61183,64378,59625,67298,80318,61077,88073,127284,69842,55748,68280,74997,43925,23335,11099,5607,4718,4155,5072,5271,1683,1181,626,681,752,1026,2372,13066,4706,787,22166,6423,20322,24362,34096,30112,21840,31301,29014,58507,50280,36691,39007,60897,30255,28805,65311,27840,39112,43518,43408,44323,46931,59125,43530,34632,31001,28509,21348,13885,10332,29037,-0.1261525154113769,1.384157419204712,-0.4329192506672196,1.0903264545642797,2.9962068,-4.6543036,1.9158917665481567,41.518727765098006,8.19820548399446,-2.885593885552375,10.597856301300556,56.434502340948185,0.0375313270861292,67.21057315779684,4.0
4,1,5,2,0,43.71,13.63,55.41,0.75,328225,368765,79985,13010,10261,14234,17632,20616,822,900,2129,17653,14600,119723,35018,19178,9445,2014,2215,2091,5250,10463,11691,0,0,0,0,0,0,0,0,0,78896,9164,14437,19391,21110,24021,27611,32490,45730,59890,60089,56389,90475,56769,41262,47260,59835,83909,81787,57650,40094,29197,17062,12295,7451,6910,6351,2828,7352,4661,1782,1772,75276,2351,4026,11079,30625,35394,34200,45882,48748,55046,55811,55182,59077,58376,49923,44899,62908,52926,51985,42424,34623,38861,48817,27430,19692,14626,8277,5216,3754,3685,3463,21338,-0.1513621360063552,1.1265873908996582,-0.5811311396624685,0.2831166542255987,1.7656785,-3.7111697,1.2691991329193115,37.07621472014509,11.897866872220485,-1.8276428255313435,3.791754956768172,58.74947920123272,0.1170298579607827,141.55923610908167,4.0
4,1,6,0,0,47.28,13.04,93.71,0.85,362690,422797,58364,8828,7382,11153,16887,23088,1030,815,2003,18920,14168,112000,5654,2462,2406,1671,1947,2296,7080,9935,12344,0,0,0,0,0,0,0,0,0,6945,9901,12316,18406,21565,27329,30090,37981,44237,40981,44395,63586,97381,42089,42832,52267,66526,82020,81395,70692,60315,45836,29146,19013,14385,15882,15025,6414,3373,1788,1127,682,0,25,1187,8516,33020,51245,53326,55477,61113,53793,55603,68857,72887,65045,56517,53747,62263,66254,46773,38660,33469,30411,35213,25159,19795,18615,12253,7283,4684,2728,2328,9674,0.0268585551530122,0.7569372653961182,-0.4934603019980509,0.7510773680015017,1.7703214,-2.5059984,0.5729540586471558,40.082165370813534,6.914218808031373,0.7613368939697504,1.3881997732205464,63.57965646843858,26.84063024405964,47.80642172533479,4.0
4,0,7,0,0,27.53,12.81,36.08,0.71,225410,160252,33967,7823,7252,5419,5748,5156,554,534,1492,14517,24959,280445,161452,88142,35093,6011,4676,4077,8116,13104,11721,0,0,0,0,0,0,0,0,0,24889,16068,34029,43059,46445,50530,47583,39530,76913,138908,84431,69330,80485,42163,32255,32996,34295,37089,37200,32030,22838,17325,7442,5412,3803,5132,6486,5070,5010,19931,6217,1026,21311,6305,12903,20059,36422,55250,56145,63934,55854,94602,81288,52478,55273,73640,38542,37565,97028,50429,36069,32377,27987,24095,19406,16913,10471,7295,6304,4933,3252,1494,1014,5282,0.0578223541378974,1.050848126411438,-0.0574570249669927,1.941860004989792,2.9938097,-3.5600348,1.104281663894653,38.98760538469251,7.591301775608787,-2.264579978710547,11.839832127408078,65.94720769961606,0.0375313270861292,57.62786264836112,4.0
4,0,8,2,0,23.38,9.46,66.62,0.95,217471,64236,24222,42047,50446,36348,31826,15681,9635,4845,8131,15815,37170,117288,214766,50977,30215,14137,13088,20311,26918,34911,25436,0,0,0,0,0,0,0,0,0,195343,145608,148391,114678,83608,57438,84231,78948,38099,39188,26105,23596,16429,11941,9517,6489,4608,2543,1810,1956,1603,1592,524,511,394,514,687,734,875,4448,1644,1868,120522,1263,2042,3203,5294,5300,4785,7868,9474,28747,33210,38905,35390,35839,42230,52577,70311,59465,53256,47338,46158,40606,36735,31897,23734,33753,53441,58173,35974,25903,21464,41063,0.0750449448823928,0.8093463182449341,-1.3657902108243274,5.864096205604941,2.00045,-3.9815555,0.6550414562225342,37.27131874851376,13.403084871736032,-2.209470734773109,3.468597667575625,50.444357113265454,0.1142917609591493,179.64268407895932,4.0
4,0,9,0,0,26.44,23.56,100.0,0.96,83043,63292,10458,26207,57771,37206,34938,13607,8124,4209,7887,15720,40534,113096,314631,65217,47563,22852,27092,31584,28841,34103,17945,0,0,0,0,0,0,0,0,0,80900,282985,201295,85283,50191,40359,92709,138701,37351,13894,12332,13864,14439,11982,9602,7317,5168,3335,1945,1630,334,232,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,175,2327,5793,14572,24385,33405,35116,39533,40501,46405,48236,50636,55305,57459,56002,50392,48911,45281,63303,95923,96990,57175,44685,37486,55921,0.0893503651022911,0.712857723236084,0.1253164191429804,5.110735507228027,3.4056418,-2.658932,0.5081661343574524,39.79943760489661,4.390573976481495,-0.2608994359516275,-1.009884794021566,48.21772620097018,29.94752245814642,19.27713984295652,4.0
