,feature
sat_9,10.781324583741018
bright_7,8.93921865004181
bright_13,8.65762528590718
bright_16,8.607174774279573
hue_21,7.317683305004198
hue_5,6.11265986177037
sat_12,5.790878630707064
sat_4,5.463188978374967
bright_21,4.95350919300789
bright_5,4.631331828647193
sat_7,4.464458095382258
hue_0,4.39557311530502
bright_28,4.064205984896919
bright_14,4.050954481665581
hue_20,4.032198511182573
bright_11,3.939534868042774
bright_30,3.881442978472557
sat_21,3.6275598862230174
sat_20,3.5418802439930186
bright_18,3.2619717369090497
bright_19,3.2575501692170628
hue_3,3.2110262662727016
sat_17,2.840616603796836
hue_17,2.8046773930176165
sat_19,2.699072528919255
bright_8,2.276873159594832
hue_15,2.0586218951473803
bright_6,2.034065762022932
sat_3,2.015780093896502
hue_14,1.852095639055578
hue_18,1.7616497320096145
sat_2,1.7399979629972098
sat_0,1.4461234194959431
bright_27,1.2367074763431154
hue_19,1.1945681690168575
bright_24,0.5912070961258223
bright_12,0.5015802896635709
hue_9,0.17149496537530934
hue_4,0.15820144679580977
MSSQ,0.016734622073465117
contrast_Min,0.013736988493864621
motion_Kurtosis,0.004386020448954498
contrast_Skweness,0.0015854960129974953
entropy_Min,0.00121776852966851
contrast_Mean,0.0003635370341009883
AverageThrusterIntensity,0.00021056487526736886
entropy_Skweness,0.00016614909938566163
entropy_Mean,0.00011887147421035995
motion_Min,8.740258266829934e-05
motion_Mean,7.549282490417726e-05
hue_25,0.0
hue_31,0.0
hue_30,0.0
hue_29,0.0
hue_28,0.0
hue_27,0.0
hue_26,0.0
hue_24,0.0
hue_23,0.0
NumBreakPresses,-6.758386809689258e-05
entropy_Max,-8.532235563015702e-05
entropy_Std,-0.00023560091822811443
entropy_Var,-0.00025049767283162936
NumConfirmPresses,-0.0004663338531207129
motion_Std,-0.0005515869595721067
entropy_Kurtosis,-0.0012595824624928472
motion_Var,-0.00137720623300961
motion_Skweness,-0.001646362814234585
motion_Max,-0.0016535205600069307
contrast_Std,-0.0030992967699230746
PercentageOfThruster,-0.0071344637848132
contrast_Max,-0.0071820293708883655
contrast_Kurtosis,-0.009215811539157502
PercentageOfRoll,-0.013544162868909568
PercentageOfMovement,-0.02168430616066667
contrast_Var,-0.04573861313690564
bright_29,-0.1288973853443175
sat_18,-0.15112459242014326
sat_31,-0.2899375561146883
hue_12,-0.2947932241647901
bright_25,-0.3310556620028187
sat_15,-0.3418391269133833
sat_28,-0.35372960795024083
bright_4,-0.359237968007787
sat_5,-0.37320679445228194
sat_27,-0.5400166382705878
hue_13,-0.6215369394580191
hue_8,-0.9415316228975694
bright_26,-1.1243679941167823
hue_11,-1.244798725226008
sat_22,-1.2536614803093344
hue_1,-1.3889376676633538
sat_24,-1.4396238762240792
bright_20,-1.4520592015395994
bright_22,-1.4748607879729818
sat_23,-1.5966780075510432
hue_10,-1.9386282062594113
sat_13,-1.9785346898306233
sat_30,-2.0229493383058945
sat_29,-2.0960362466882803
sat_26,-2.1070234479559202
sat_16,-2.1261399514276818
sat_14,-2.3377991167131116
sat_25,-2.356306673869356
sat_1,-2.7111082046261115
bright_15,-2.942536533571087
bright_31,-3.1966551199788795
hue_6,-4.183541765855331
bright_10,-4.214516206762324
bright_17,-4.337139589222306
sat_8,-4.447032029418346
bright_23,-4.55899437741905
sat_11,-4.636887923425377
hue_22,-4.6688402942375395
bright_3,-4.966468621726339
sat_10,-5.9496928097820865
bright_0,-6.812642672023986
hue_16,-7.29328923119983
hue_2,-7.386984394851827
bright_1,-7.97154336186215
bright_2,-9.101150441637964
hue_7,-10.344767891460908
sat_6,-10.538752578601068
bright_9,-17.150027474970322
