,feature
bright_1,0.02150762046545323
hue_17,0.020311533555031756
sat_1,0.0175976480670808
bright_17,0.017486491552633137
PercentageOfMovement,0.01646551133141499
bright_13,0.01636971806124125
sat_0,0.014852248102459617
bright_16,0.014203938098746335
bright_11,0.014003854120526115
MSSQ,0.013571687648361107
sat_11,0.01327153702422483
bright_18,0.013009806899894174
sat_10,0.012782019229867185
hue_12,0.012767911296568147
hue_7,0.012690238743055832
hue_15,0.01261761878656935
sat_18,0.012550290614250559
hue_2,0.012252112946524183
bright_9,0.011898117195273679
sat_13,0.011801462211504047
hue_3,0.01177114423430821
sat_9,0.011577006354369533
contrast_Var,0.011327667559525762
motion_Max,0.011249396069104196
hue_4,0.01120944121987306
sat_19,0.011207805827926066
hue_16,0.011123568289591624
hue_9,0.011111420917093625
bright_12,0.010749816880350068
hue_22,0.010708016608939478
sat_14,0.010694890743803339
bright_10,0.010322830220676382
hue_1,0.010122721304412368
sat_20,0.010033203849752549
hue_20,0.009576710988052526
hue_14,0.009418393207484095
sat_2,0.009365759596549233
bright_22,0.00929788669143225
hue_21,0.009270147132895411
hue_11,0.009237076117982064
PercentageOfRoll,0.009194967143326826
contrast_Std,0.009186202266094361
bright_23,0.008990548447487954
bright_2,0.008906576993297824
motion_Min,0.008746196354685877
hue_10,0.008723948501225648
sat_16,0.00867914103421347
sat_12,0.008674339845308483
bright_8,0.008661488641205143
sat_17,0.00865561635241756
bright_20,0.00865463780410868
contrast_Max,0.008629936360753408
sat_15,0.008624219048376935
hue_8,0.008585137355206019
sat_31,0.00849648479939006
bright_14,0.008472674188341632
sat_8,0.008465826373135556
hue_13,0.008367502095819409
hue_5,0.008329145703523522
hue_0,0.008277487935646108
hue_19,0.008213434628663994
contrast_Skweness,0.008145415544148363
hue_6,0.008070711071379383
bright_7,0.008048043101538683
sat_23,0.00781472719596017
sat_3,0.007754765487273473
sat_4,0.007694303452451092
bright_19,0.007640825174797416
sat_21,0.0076063662074715615
hue_18,0.007543608656390628
sat_6,0.007513553000329607
sat_22,0.007499801636260885
bright_15,0.007295869869798587
bright_29,0.007167848906197586
sat_7,0.007119537547942741
bright_3,0.0071164975626528786
bright_25,0.007090184113885089
bright_24,0.00707242583954035
sat_5,0.0070287469054623065
sat_24,0.006911035541087696
bright_31,0.0069087080752767305
bright_21,0.006754393804692699
bright_30,0.006741089561167964
bright_0,0.006716828647217754
bright_5,0.006701756654404378
bright_28,0.006673285596677724
bright_6,0.006655796872427512
PercentageOfThruster,0.006638717949564659
contrast_Kurtosis,0.006590557611638915
motion_Var,0.006581915842729778
motion_Kurtosis,0.006482974642698854
bright_26,0.006446631100335296
motion_Skweness,0.005993397672572486
bright_27,0.005929431662984696
entropy_Kurtosis,0.005890159191395048
entropy_Skweness,0.0057052347533042575
bright_4,0.005580984488774263
sat_30,0.005405102989216968
contrast_Mean,0.005370259443687456
sat_29,0.005311994994488785
entropy_Max,0.00463570219028662
entropy_Var,0.004590181375867552
sat_25,0.004552923268863738
contrast_Min,0.004503796606177219
sat_28,0.004498576773127275
sat_26,0.004329937871587641
sat_27,0.004140235711185815
motion_Std,0.003880530700521584
entropy_Mean,0.003545160167468104
entropy_Min,0.0032088975985401337
entropy_Std,0.002887805625427002
motion_Mean,0.0020564500259917786
AverageThrusterIntensity,0.0015634033051085277
NumConfirmPresses,0.0010136096404720024
NumBreakPresses,0.00045751913251957006
hue_23,0.0
hue_24,0.0
hue_25,0.0
hue_26,0.0
hue_27,0.0
hue_28,0.0
hue_29,0.0
hue_30,0.0
hue_31,0.0
