Minute,NumConfirmPresses,NumBreakPresses,PercentageOfMovement,PercentageOfRoll,PercentageOfThruster,AverageThrusterIntensity
1,5,0,0.0,0.0,0,0
2,0,0,20.83,0.0,80.83,0.97
3,0,0,35.83,1.67,90.83,0.99
4,0,0,7.5,0.0,12.5,0.88
5,3,0,25.83,0.0,60.83,0.99
6,0,0,38.33,2.5,61.67,0.96
7,0,0,0.0,0.0,0,0
8,1,0,10.83,3.33,62.5,1.0
9,0,0,25.0,2.5,100.0,1.0
10,0,0,37.5,0.0,100.0,1.0
11,0,0,22.5,0.83,48.33,1.0
12,0,0,28.33,3.33,66.67,0.99
13,0,0,47.5,2.5,70.0,0.99
14,0,0,0.0,0.0,0,0
15,0,0,30.0,4.17,70.0,0.99
16,0,0,22.5,8.33,36.67,1.0
17,0,0,23.33,8.33,63.33,0.99
18,0,0,44.17,8.33,96.67,0.98
19,0,0,46.67,11.67,87.5,0.98
20,0,0,26.67,2.5,49.17,0.98
21,1,0,33.33,9.17,72.5,0.97
22,0,0,36.67,4.17,51.67,0.98
23,1,0,0.0,0.0,0,0
24,1,0,30.83,10.0,55.83,0.99
25,0,0,45.0,17.5,67.5,0.95
26,0,0,25.0,7.5,62.5,0.97
27,0,0,29.17,5.83,64.17,1.0
28,0,0,65.83,8.33,85.0,0.95
29,0,0,20.83,5.83,27.5,0.93
30,0,0,0.0,0.0,0,0
