,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,201687,39496,9690,43837,199068,113379,25035,1973,1240,1025,1551,8353,16113,105670,106328,94498,40270,9040,9225,7062,7207,11934,52239,0,0,0,0,0,0,0,0,0
1,269870,199147,80532,37235,2753,5272,14429,12900,1508,950,1495,7244,23024,22244,234247,57774,27427,12486,18626,19440,16162,22739,18416,0,0,0,0,0,0,0,0,0
2,167395,113682,14149,8505,715,2415,13057,11191,2331,1555,1867,9009,21829,71267,509880,78425,16412,5573,8026,5481,9601,16849,16706,0,0,0,0,0,0,0,0,0
3,240147,314353,29540,8032,1413,3275,12164,8566,1000,348,580,9034,22703,21119,291594,66792,12116,4890,9277,5779,9334,18057,15807,0,0,0,0,0,0,0,0,0
4,195112,68755,12372,3883,1405,1324,3634,3554,564,377,587,5186,15208,174494,265686,196107,90392,10999,8748,7701,11805,19729,8298,0,0,0,0,0,0,0,0,0
5,290992,423367,68301,11040,9239,16374,38704,40990,1555,1112,1815,11434,8987,143345,5897,2419,2093,1215,2095,1548,4453,8840,10105,0,0,0,0,0,0,0,0,0
6,293511,384614,34002,8288,7359,8326,10017,17483,707,538,1082,11957,8880,268029,8934,3496,2635,1671,1620,1826,4972,10864,15109,0,0,0,0,0,0,0,0,0
7,549926,261741,22830,13195,14828,24131,18273,11473,527,343,601,16870,9245,98610,6613,2844,2542,1590,1778,2465,8122,13720,23653,0,0,0,0,0,0,0,0,0
8,183895,71107,3783,2532,2196,2200,653,201,147,131,348,5216,8919,242252,210558,209955,98153,11958,8281,7132,11661,17298,7344,0,0,0,0,0,0,0,0,0
9,166173,28128,20036,26667,48839,34074,27451,18736,8605,4174,6865,12405,29902,132263,337326,74891,45262,14259,11049,8562,17326,21855,11072,0,0,0,0,0,0,0,0,0
10,53284,29999,9945,28278,58653,41761,40635,18815,10963,4972,9203,16213,44116,99188,448806,65620,32270,12045,16129,13752,17077,22842,11354,0,0,0,0,0,0,0,0,0
11,131144,28973,3430,9656,1831,4587,13656,11278,2576,1977,2395,11739,39982,96369,312496,131330,93496,31050,34600,30758,45500,47411,19686,0,0,0,0,0,0,0,0,0
12,117475,46055,32377,35141,30560,13229,14992,8851,4013,2873,4712,12303,33605,147309,232576,181739,75523,13780,15773,11646,23999,30193,17196,0,0,0,0,0,0,0,0,0
13,291421,112550,27050,37071,15371,6122,14813,7754,727,551,808,6577,50622,64971,47635,92720,66244,44895,24620,24096,38218,61928,69156,0,0,0,0,0,0,0,0,0
14,243546,109964,29779,36329,27416,7326,19080,12604,1998,248,381,4682,15581,13866,8212,34264,22041,22947,21373,34600,104710,188763,146210,0,0,0,0,0,0,0,0,0
15,280255,93948,29348,50308,27835,4573,15439,6879,1115,307,448,10138,53202,32243,13326,32674,30190,25935,21803,28173,83998,132575,131208,0,0,0,0,0,0,0,0,0
16,193596,47855,10690,10213,8661,1139,784,155,105,106,225,6554,12747,125312,150778,212778,96380,22535,18304,23696,54615,71862,36830,0,0,0,0,0,0,0,0,0
17,103865,67759,59478,116726,192381,179168,46197,23700,4571,2534,2825,8213,12853,13486,174161,31926,8354,4428,5196,7056,10413,18184,12446,0,0,0,0,0,0,0,0,0
18,80279,52389,31691,173838,207194,78201,23335,11637,4546,2528,3588,7448,9244,62605,216275,68431,29329,4646,4526,3761,6543,12371,11515,0,0,0,0,0,0,0,0,0
19,11601,2810,2070,645,171,71,48,49,30,30,116,6280,12324,197559,274180,343283,165672,17027,12710,10228,17070,26865,5081,0,0,0,0,0,0,0,0,0
20,12748,2435,2327,5300,4935,1698,596,292,262,307,623,5266,18888,390776,277585,223841,109054,11904,7921,5542,7664,11896,4060,0,0,0,0,0,0,0,0,0
21,223774,44357,40127,145398,141552,22849,14840,12688,2918,1077,1391,7241,22859,30157,276769,35497,13418,4445,5345,5782,11776,23134,18526,0,0,0,0,0,0,0,0,0
22,88083,46977,31435,172704,191217,15005,12646,12058,2471,1486,2241,49020,47138,11261,299822,50082,10257,4298,6561,4449,9010,18695,19004,0,0,0,0,0,0,0,0,0
23,104410,42049,51878,208913,147094,20345,15403,14004,3073,1673,3079,38674,43155,14869,295862,35741,8044,3600,5986,3813,8001,17619,18635,0,0,0,0,0,0,0,0,0
24,87155,21527,9704,19795,5758,1259,7687,2172,723,693,1425,74996,51605,181968,297248,190413,82242,10671,7843,6210,11353,20184,13289,0,0,0,0,0,0,0,0,0
25,10430,2377,1620,2046,1721,618,304,115,128,159,367,4230,12692,318043,272724,268042,145691,13589,9857,7654,11484,17924,4105,0,0,0,0,0,0,0,0,0
