,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,200413,35850,55504,35403,33037,83886,203944,97951,100205,77868,42499,38775,29641,11222,6298,4572,4553,3791,5485,5350,5832,5547,3234,2556,1159,1097,609,559,549,1166,1959,5406
1,32557,73537,62096,81700,106374,109358,112506,84320,49114,40001,40730,39622,64625,122107,51081,9708,6064,5800,2869,1862,846,809,1539,1879,575,636,954,1541,918,186,6,0
2,33944,40532,43347,43844,50240,60336,76972,115329,110007,58475,44521,42614,88465,148389,93147,39847,9002,3892,1908,445,485,41,50,40,38,10,0,0,0,0,0,0
3,28514,27721,46414,58567,64828,82036,89356,65494,96981,179458,87912,51098,32737,45813,38118,17728,8338,5715,5173,5673,7296,9005,2105,2411,911,1566,1580,2048,4204,25940,8746,2434
4,79983,9198,14543,18660,22700,27717,32202,36269,48574,71932,61980,66615,113913,45402,31159,38037,51665,66182,66895,53407,41953,31265,18323,13709,8544,7258,7296,4231,3395,7191,2869,2853
5,33584,10092,16475,19279,25253,27262,30109,28787,40896,59795,57996,68943,114560,57741,46222,49422,54853,62807,66829,56947,41830,30951,16110,12995,12722,15483,16856,10384,7032,8269,3507,1929
6,3181,16321,42457,55023,69038,82692,81762,53510,116830,236042,109587,61052,22729,12982,9975,7662,8200,6217,6748,7743,10488,12437,2546,2759,1276,1946,2240,3017,6594,38615,11663,2588
7,193156,134833,120859,93652,71188,55570,102369,126103,72089,47037,23504,14034,6491,4268,5109,4646,4249,2847,2004,2079,1674,1915,687,627,348,674,731,1714,1401,5889,1994,2179
8,90147,275873,183951,68934,44893,41776,113274,181402,47133,10071,10291,7737,6135,4248,4398,5502,5239,2713,1094,995,90,24,0,0,0,0,0,0,0,0,0,0
9,220986,247720,185086,112968,77283,54731,83987,46850,16225,8688,8817,10074,9235,4736,3191,3550,3504,2863,2569,1851,747,254,5,0,0,0,0,0,0,0,0,0
10,76904,111287,126374,96219,83390,80789,102451,58575,61387,115736,57670,35080,14641,8523,5935,4817,5512,4557,4141,4267,5763,7440,1408,1190,523,837,912,1228,2673,17327,6854,1510
11,79018,20200,66369,85663,87744,101138,122370,154290,116733,90663,49212,30613,18993,16799,9587,7827,7850,8976,7748,4298,2525,2254,808,937,887,827,1112,842,1060,5152,1804,1621
12,34100,25124,69531,79388,107814,111574,118770,141530,129724,84866,53929,38836,31042,26582,13422,7476,6521,7035,6300,5040,2670,1688,227,432,365,433,54,79,42,39,19,1268
13,4195,18195,45011,55706,66632,84091,80119,51887,114405,233260,114283,65305,23972,12895,9761,7206,7592,6257,6394,8008,11442,12289,2211,2360,1102,1760,2068,2697,5882,35834,11085,2016
14,84699,27838,52170,69780,109714,129884,92887,78342,70612,63159,49128,49948,49597,45146,39542,30811,20839,12610,8940,4952,2854,2243,1394,716,399,478,463,723,1294,2541,982,1235
15,35687,21077,33418,45785,62803,102869,80218,51846,65249,113399,72696,59516,52762,52118,51894,46164,45093,33943,21167,12073,7282,6768,1848,1419,489,833,826,1115,2072,14791,6584,2116
16,142047,27787,39111,53571,62079,64576,64136,57222,70202,80422,67036,57900,73675,103687,71830,28802,9506,5758,3203,2234,2562,2511,957,1075,837,808,799,1139,1259,4689,1933,2567
17,29246,33625,44280,52744,58114,63145,61324,66705,78178,95032,97629,85009,112709,121348,57964,22163,9861,8429,4592,1727,653,793,530,113,7,0,0,0,0,0,0,0
