,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,159503,15020,26479,53415,63308,41241,29329,8712,10606,17666,12448,13374,18824,30442,52816,72664,30621,39775,53804,46523,36724,44060,63965,51237,27749,23004,18230,14400,9999,4986,4540,10456
1,131006,18379,25475,29373,25769,48289,43104,22706,30220,58405,26494,22904,35025,32233,27328,39557,22186,35239,49949,61470,70910,66793,51051,34051,27952,17675,12517,8796,6445,4079,3234,17306
2,0,0,0,0,62,3030,8030,20098,26962,27246,21058,19210,17478,22640,29385,36681,38668,60513,71498,92221,94015,77996,66981,70894,55301,45789,38070,31735,24427,19782,16124,70026
3,26196,4122,5695,7308,19568,16261,22149,33211,28569,22465,19634,17061,17400,20141,22031,21310,20393,29578,45373,67212,79583,72806,71029,88698,70184,57967,44339,33929,26010,20814,16091,58793
4,107477,13158,32339,48083,112530,48651,30849,33166,27636,75433,63000,41395,43296,64677,40132,50617,78780,31083,26432,23388,18220,21553,22853,11030,6922,5516,4308,3452,2720,2091,2244,12889
5,0,22,12077,33669,51798,55665,63165,65390,63182,56845,49679,51917,51680,48667,44236,64509,78595,74737,58572,40756,32301,21783,26022,16033,8627,6636,6236,3884,3050,2566,2009,11612
6,32962,11526,26930,50470,108543,58104,45333,51862,46283,87316,70526,44853,41737,57656,34407,38771,62340,50665,36562,28954,23662,24737,23828,15057,9662,6171,3828,3194,2665,1565,974,4777
7,251970,6307,12969,16117,23799,9787,7772,13530,22500,44435,28691,25195,19348,25418,23487,26924,39378,31953,34678,32199,29597,26904,21004,17137,25791,61056,67416,59996,35922,23679,14872,26089
8,0,0,0,0,0,0,166,6371,22103,22939,24765,24361,16196,19779,21268,21682,28843,35217,46613,50662,48232,39045,31551,28873,36836,87363,108511,114181,78561,62129,51572,78101
9,0,0,0,0,6,672,2678,7186,27367,31552,36366,35903,25011,26653,27969,25533,26331,21638,21614,21621,25473,32737,35631,34568,45297,66549,70868,72270,60901,62321,63294,197911
10,27474,9942,20234,28084,67571,34325,18747,26274,36824,59689,49384,40039,41398,48237,37248,37407,36528,33415,38924,39041,34578,32851,22582,14716,14080,17739,22154,35720,32223,33788,30928,83776
11,99801,18950,47899,64093,121858,42754,28349,35764,24108,91753,71176,40403,37158,74111,31666,35488,65242,20689,36493,23511,18763,24873,17128,9385,5948,4833,3054,1849,1436,901,945,5539
12,0,0,6,30,35,530,1834,8799,16181,18454,19999,28116,35756,34870,36232,44006,53012,73062,97860,118931,119087,78109,47756,37761,32590,25014,21941,19653,17995,15275,19835,83191
13,23443,4136,6035,8157,18588,8945,7445,12621,14226,28032,31406,26027,28884,36314,39233,46009,53368,63308,68819,67397,70853,55745,33073,27138,27735,25580,22391,20562,21046,18544,30094,160766
14,73282,17043,41390,61272,155545,68164,35900,36533,28806,96784,74148,37202,33498,70825,29518,30470,62708,18941,22148,18440,16741,27355,20447,9463,5604,4791,2680,2057,1814,574,425,1352
15,0,0,0,0,0,3,478,2469,9424,22226,26813,22177,23471,27996,32982,46535,55267,69359,84751,73324,55538,50443,84840,73655,84756,62966,44254,31355,26369,21456,20243,52770
16,33644,13367,34860,47368,104270,38956,21885,23774,20017,62167,48805,29014,26684,50839,23629,27275,42931,26999,36719,32036,26349,39296,49020,37932,34242,28481,25097,22155,21610,19461,19008,38030
17,323635,1112,4021,6663,10834,8941,13275,17793,15503,20305,22612,27273,34260,40704,36037,35094,38317,48121,57537,66704,63069,47548,35174,27648,21150,19114,15687,9895,6965,5610,5580,19739
18,0,0,0,0,41,6799,18817,28960,20743,17205,22756,31103,34099,36764,38756,39627,41142,51447,64448,87062,95087,80215,64939,54337,42364,38806,30563,27699,22403,18897,17593,73248
19,0,0,0,2,32,6321,12604,20829,24675,22413,23785,28586,27437,33104,37459,37359,56972,61259,66097,80536,77463,62958,50446,45944,37172,33603,30375,30540,26009,24376,24400,123164
20,30149,14195,33619,47111,139484,47533,27914,29000,20919,63607,46601,26692,24027,43056,24180,26291,33576,31913,36800,44852,49403,54505,42888,30219,24059,20003,16903,13143,10955,8731,8304,35288
